Data_Set,Year,Collapsed,Over-exploited,Exploited,Developing,Rebuilding
css,1950,0.00,0.00,22.16,77.84,0.00
css,1951,0.00,0.00,26.66,73.33,0.00
css,1952,0.00,0.04,26.82,73.15,0.00
css,1953,0.00,0.04,31.59,68.37,0.00
css,1954,0.00,0.06,35.02,64.92,0.00
css,1955,0.00,0.07,42.07,57.87,0.00
css,1956,0.00,0.09,43.20,56.71,0.00
css,1957,0.00,0.08,42.87,57.04,0.00
css,1958,0.00,0.10,42.17,57.73,0.00
css,1959,0.00,0.14,41.97,57.89,0.00
css,1960,0.00,0.14,42.82,57.03,0.00
css,1961,0.01,0.19,42.73,57.07,0.00
css,1962,0.01,0.49,48.43,51.08,0.00
css,1963,0.01,0.96,52.67,46.37,0.00
css,1964,0.01,1.31,55.91,42.77,0.00
css,1965,0.01,1.44,56.23,42.32,0.00
css,1966,0.01,1.46,56.26,42.27,0.00
css,1967,0.01,1.56,58.45,39.98,0.00
css,1968,0.01,1.43,58.92,39.64,0.00
css,1969,0.01,1.47,60.54,37.97,0.00
css,1970,0.02,1.47,59.86,38.65,0.00
css,1971,0.02,4.43,55.92,39.62,0.01
css,1972,0.05,5.42,52.53,41.97,0.03
css,1973,0.07,8.92,51.20,39.77,0.04
css,1974,0.13,8.97,54.11,36.76,0.04
css,1975,0.15,11.05,55.27,33.50,0.03
css,1976,0.61,8.97,55.45,34.92,0.05
css,1977,0.57,9.25,53.64,36.45,0.09
css,1978,1.30,9.75,53.90,34.96,0.09
css,1979,1.31,11.76,55.25,31.59,0.09
css,1980,1.33,11.33,59.19,28.09,0.06
css,1981,0.60,12.31,59.42,27.59,0.07
css,1982,0.34,12.90,59.07,27.61,0.08
css,1983,0.47,13.38,58.81,27.25,0.10
css,1984,0.98,12.74,59.71,26.47,0.10
css,1985,0.78,12.69,59.13,25.09,2.31
css,1986,0.61,12.39,60.68,22.85,3.47
css,1987,0.11,12.78,61.09,21.10,4.92
css,1988,0.09,13.07,62.60,19.20,5.04
css,1989,0.15,13.80,61.52,19.04,5.49
css,1990,0.20,13.61,61.85,18.64,5.70
css,1991,0.27,13.13,62.96,17.55,6.09
css,1992,0.27,14.98,63.81,16.43,4.50
css,1993,0.27,15.32,66.31,15.31,2.80
css,1994,0.28,15.62,68.40,15.42,0.28
css,1995,0.31,13.41,71.62,14.44,0.22
css,1996,0.42,12.16,73.84,13.40,0.17
css,1997,0.50,12.03,73.49,13.07,0.91
css,1998,0.54,11.77,73.75,12.89,1.05
css,1999,0.47,12.50,73.10,12.67,1.26
css,2000,0.41,12.13,74.80,11.90,0.77
css,2001,0.79,14.06,72.32,11.96,0.87
css,2002,0.84,13.79,69.95,11.99,3.43
css,2003,0.84,15.35,68.68,11.84,3.29
css,2004,0.77,15.35,69.35,11.22,3.31
css,2005,1.19,17.16,66.68,11.41,3.55
css,2006,1.76,16.02,66.82,11.71,3.69
css,2007,1.94,16.11,66.21,11.95,3.80
css,2008,2.08,16.29,65.99,11.82,3.82
css,2009,2.00,18.79,61.52,11.63,6.06
css,2010,1.58,18.52,62.62,11.11,6.17
css,2011,1.36,17.87,64.11,10.72,5.93
css,2012,1.23,18.64,62.89,10.48,6.76
css,2013,1.53,20.07,59.01,10.72,8.67
css,2014,1.54,20.82,58.16,10.76,8.71
css,2015,1.80,18.54,61.10,10.84,7.72
css,2016,1.79,17.66,61.31,11.03,8.21
css,2017,1.66,17.51,59.89,11.91,9.03
css,2018,1.21,18.13,55.78,13.31,11.57
nss,1950,0.00,0.00,8.25,91.75,0.00
nss,1951,0.06,0.26,8.68,91.00,0.00
nss,1952,0.06,0.32,9.71,89.90,0.00
nss,1953,0.06,0.38,10.12,89.43,0.00
nss,1954,0.06,0.38,10.61,88.95,0.00
nss,1955,0.13,0.57,11.90,87.40,0.00
nss,1956,0.38,0.44,13.12,86.06,0.00
nss,1957,0.38,0.51,13.22,85.83,0.06
nss,1958,0.32,0.57,13.72,85.40,0.00
nss,1959,0.38,0.82,14.44,84.36,0.00
nss,1960,0.63,1.38,14.54,83.46,0.00
nss,1961,0.75,1.31,16.26,81.68,0.00
nss,1962,0.75,1.37,17.30,80.52,0.06
nss,1963,0.68,1.80,18.02,79.38,0.12
nss,1964,0.62,1.79,18.46,78.89,0.25
nss,1965,0.86,1.79,20.12,76.98,0.25
nss,1966,0.68,2.34,21.34,75.45,0.19
nss,1967,0.55,3.13,21.28,74.86,0.18
nss,1968,0.73,3.18,22.79,73.00,0.31
nss,1969,0.61,3.66,23.26,72.22,0.24
nss,1970,1.03,3.86,23.19,71.62,0.30
nss,1971,1.08,4.34,24.40,69.82,0.36
nss,1972,1.14,4.50,27.09,66.85,0.42
nss,1973,1.32,5.50,28.09,64.55,0.54
nss,1974,1.60,5.69,27.62,64.49,0.59
nss,1975,1.90,6.29,27.91,63.36,0.53
nss,1976,2.25,7.16,27.93,62.01,0.65
nss,1977,2.42,8.86,28.88,59.07,0.77
nss,1978,2.23,8.50,31.03,57.42,0.82
nss,1979,2.98,9.00,29.87,57.33,0.82
nss,1980,3.15,9.33,31.20,55.51,0.82
nss,1981,3.40,9.07,32.44,54.27,0.82
nss,1982,3.28,9.43,34.66,51.70,0.94
nss,1983,3.79,10.44,34.77,50.06,0.93
nss,1984,3.90,10.76,35.52,48.55,1.28
nss,1985,3.77,11.67,37.72,45.62,1.22
nss,1986,3.82,11.63,38.69,44.59,1.27
nss,1987,3.63,12.00,40.95,41.98,1.44
nss,1988,3.76,13.06,40.69,41.16,1.33
nss,1989,4.26,13.80,40.66,39.85,1.44
nss,1990,5.44,16.28,37.08,39.71,1.49
nss,1991,5.56,17.58,39.06,36.31,1.49
nss,1992,5.67,17.19,41.55,33.93,1.66
nss,1993,6.06,18.35,40.25,33.62,1.72
nss,1994,6.37,18.71,41.35,31.63,1.93
nss,1995,6.56,17.47,43.95,30.02,2.00
nss,1996,6.94,18.02,44.63,28.48,1.93
nss,1997,7.60,20.25,42.99,27.28,1.87
nss,1998,7.59,21.40,41.45,27.18,2.38
nss,1999,8.35,21.60,41.57,26.28,2.20
nss,2000,8.52,22.52,41.65,24.83,2.48
nss,2001,8.82,23.75,40.03,24.31,3.09
nss,2002,9.80,24.65,39.05,23.36,3.14
nss,2003,10.16,25.46,39.98,21.16,3.24
nss,2004,10.01,26.50,39.52,20.79,3.19
nss,2005,10.84,27.37,38.66,19.55,3.58
nss,2006,11.41,27.45,38.75,18.43,3.95
nss,2007,11.49,28.39,38.76,17.40,3.96
nss,2008,12.98,28.64,37.44,16.99,3.96
nss,2009,12.71,28.82,37.90,16.16,4.40
nss,2010,13.26,29.75,37.81,14.26,4.92
nss,2011,14.37,28.56,39.81,11.87,5.39
nss,2012,14.48,30.39,38.71,10.55,5.87
nss,2013,14.72,30.97,37.73,10.63,5.97
nss,2014,14.97,30.78,38.15,9.41,6.69
nss,2015,16.10,29.42,38.85,8.16,7.47
nss,2016,16.49,29.21,38.91,7.90,7.49
nss,2017,16.47,29.99,38.34,6.91,8.29
nss,2018,15.31,32.40,36.01,6.88,9.40
